Business Name,Owner/Contact,Phone,Email,Website,Address,City,County,Service Areas,Specializations,CAPS Certified,License Number,Years in Business,Est Annual Revenue,Employees,Google Rating,Yelp Rating,BBB Rating,VA Grant Experience,Social Media
Elite Accessible Remodeling,Tony Garcia,(858) 555-1005,tony@eliteaccessibleremodeling.com,www.eliteaccessibleremodeling.com,9876 Miramar Rd,San Diego,San Diego,"San Diego County","High-end remodeling, Luxury accessibility, Custom design",Yes,CA-1002005,14,$4.2M,26,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Coastal Access Builders - SD,Rebecca Davis,(858) 555-1006,rebecca@coastalaccessbuilderssd.com,www.coastalaccessbuilderssd.com,1357 Torrey Pines Rd,La Jolla,San Diego,"Coastal San Diego","Beachfront accessibility, Coastal compliance, High-end projects",Yes,CA-1002006,16,$5.3M,32,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
North County Adaptive Homes,George Wilson,(760) 555-1007,george@northcountyadaptive.com,www.northcountyadaptive.com,2468 Mission Ave,Oceanside,San Diego,"North County","Complete modifications, New construction, Remodeling",Yes,CA-1002007,13,$3.1M,18,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
South Bay Accessibility,Monica Rodriguez,(619) 555-1008,monica@southbayaccessibility.com,www.southbayaccessibility.com,3579 Palm Ave,Imperial Beach,San Diego,"South San Diego","Bathroom/kitchen specialists, Grab bars, Accessible fixtures",Yes,CA-1002008,10,$2.0M,10,4.7,4.5,A,Yes,"Facebook, Instagram"
East County Access Pro,Richard Brown,(619) 555-1009,richard@eastcountyaccesspro.com,www.eastcountyaccesspro.com,4680 Fletcher Pkwy,La Mesa,San Diego,"East County","Ramps, Elevators, Complete accessibility",Yes,CA-1002009,15,$3.4M,20,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Oceanside Barrier-Free,Laura Martinez,(760) 555-1010,laura@oceansidebarrierfree.com,www.oceansidebarrierfree.com,5791 Coast Hwy,Oceanside,San Diego,"North County Coastal","Smart home tech, Automation, Voice control",Yes,CA-1002010,11,$2.5M,14,4.7,4.6,A,Yes,"LinkedIn, Instagram"
Carlsbad Accessible Solutions,Kevin Thompson,(760) 555-1011,kevin@carlsbadaccessiblesolutions.com,www.carlsbadaccessiblesolutions.com,6802 Carlsbad Blvd,Carlsbad,San Diego,"North County Coastal","Pool lifts, Aquatic accessibility, Luxury modifications",Yes,CA-1002011,17,$4.6M,28,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Vista Home Adaptations,Stephanie Anderson,(760) 555-1012,stephanie@vistahomeadaptations.com,www.vistahomeadaptations.com,7913 Vale Terrace Dr,Vista,San Diego,"North County Inland","Kitchen/bathroom remodeling, Accessible design, CAPS certified",Yes,CA-1002012,12,$2.6M,15,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Mission Valley Access,Antonio Garcia,(619) 555-1013,antonio@missionvalleyaccess.com,www.missionvalleyaccess.com,8024 Mission Center Rd,San Diego,San Diego,"Central San Diego","Commercial & residential, ADA compliance, Universal design",Yes,CA-1002014,18,$4.8M,30,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram, Twitter"
Pacific Beach Adaptive Living,Jennifer Lee,(858) 555-1014,jennifer@pacificbeachadaptiveliving.com,www.pacificbeachadaptiveliving.com,9135 Garnet Ave,San Diego,San Diego,"Coastal San Diego","Beach community specialists, Coastal modifications, Smart home",Yes,CA-1002015,10,$2.3M,12,4.7,4.5,A,Yes,"Facebook, Instagram"
Point Loma Access Builders,Charles Wilson,(619) 555-1015,charles@pointlomaaccessbuilders.com,www.pointlomaaccessbuilders.com,1246 Rosecrans St,San Diego,San Diego,"Coastal San Diego","Elevator installation, Lifts, Multi-story accessibility",Yes,CA-1002016,14,$3.3M,19,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Poway Home Modifications,Diana Martinez,(858) 555-1016,diana@powayhomemodifications.com,www.powayhomemodifications.com,2357 Poway Rd,Poway,San Diego,"North County Inland","Complete home adaptations, VA projects, CAPS certified",Yes,CA-1002017,16,$3.7M,23,4.9,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Escondido Accessibility Experts,Frank Rodriguez,(760) 555-1017,frank@escondidoaccessibility.com,www.escondidoaccessibility.com,3468 Valley Pkwy,Escondido,San Diego,"North County Inland","Bathroom/kitchen specialists, Smart home, All modifications",Yes,CA-1002018,13,$2.9M,17,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Chula Vista Adaptive Builders,Gloria Brown,(619) 555-1018,gloria@chulavistaadaptivebuilders.com,www.chulavistaadaptivebuilders.com,4579 Broadway,Chula Vista,San Diego,"South San Diego","Complete modifications, New construction, Veteran specialists",Yes,CA-1002019,15,$3.5M,21,4.8,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Santee Barrier-Free Homes,Henry Johnson,(619) 555-1019,henry@santeebarrierfree.com,www.santeebarrierfree.com,5680 Mission Gorge Rd,Santee,San Diego,"East County","Ramps, Pathways, Accessible entryways",No,CA-1002020,8,$1.6M,7,4.5,4.4,A-,No,"Facebook"
Irvine Universal Design,Catherine Kim,(949) 555-2001,catherine@irvineuniversaldesign.com,www.irvineuniversaldesign.com,10246 Culver Dr,Irvine,Orange,"Central Orange County","CAPS certified, Universal design specialists, High-end projects",Yes,CA-2002001,19,$5.1M,31,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram, Twitter"
Anaheim Access Experts,Edward Lee,(714) 555-2002,edward@anaheimAccessexperts.com,www.anaheimAccessexperts.com,11357 Harbor Blvd,Anaheim,Orange,"North Orange County","VA grant specialists, Complete modifications, All services",Yes,CA-2002002,14,$3.2M,19,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Orange Adaptive Construction,Frances Park,(714) 555-2003,frances@orangeadaptiveconstruction.com,www.orangeadaptiveconstruction.com,12468 Chapman Ave,Orange,Orange,"Central Orange County","Smart home integration, Automation, Voice control systems",Yes,CA-2002003,11,$2.7M,15,4.7,4.6,A+,Yes,"LinkedIn, Instagram"
Santa Ana Home Access,Gerald Martinez,(714) 555-2004,gerald@santaanahomeaccess.com,www.santaanahomeaccess.com,13579 17th St,Santa Ana,Orange,"Central Orange County","Bathroom/kitchen remodeling, Accessible fixtures, Grab bars",Yes,CA-2002004,12,$2.5M,14,4.7,4.5,A,Yes,"Facebook, Instagram"
Garden Grove Accessibility,Helen Nguyen,(714) 555-2005,helen@gardengroveaccessibility.com,www.gardengroveaccessibility.com,14680 Brookhurst St,Garden Grove,Orange,"Central Orange County","Ramp installation, Exterior modifications, Pathways",No,CA-2002006,9,$1.8M,9,4.6,4.4,A,Yes,"Facebook"
Fountain Valley Adaptive Homes,Ivan Chen,(714) 555-2006,ivan@fountainvalleyadaptive.com,www.fountainvalleyadaptive.com,15791 Brookhurst St,Fountain Valley,Orange,"Central Orange County","Pool accessibility, Aquatic lifts, Outdoor modifications",Yes,CA-2002007,13,$2.9M,17,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Buena Park Access Solutions,Julia Rodriguez,(714) 555-2007,julia@buenaparkAccesssolutions.com,www.buenaparkAccesssolutions.com,16802 Beach Blvd,Buena Park,Orange,"North Orange County","Elevator installation, Stair lifts, Vertical lifts",Yes,CA-2002008,10,$2.2M,12,4.7,4.5,A,Yes,"Facebook, Instagram"
La Habra Barrier-Free,Kenneth Wilson,(562) 555-2008,kenneth@lahabrabarrierfree.com,www.lahabrabarrierfree.com,17913 Whittier Blvd,La Habra,Orange,"North Orange County","Kitchen modifications, Accessible design, Custom cabinetry",Yes,CA-2002009,15,$3.4M,20,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Placentia Home Adaptations,Linda Davis,(714) 555-2009,linda@placentiah omeadaptations.com,www.placentiahomeadaptations.com,18024 Yorba Linda Blvd,Placentia,Orange,"North Orange County","Complete modifications, VA specialists, CAPS certified",Yes,CA-2002010,12,$2.6M,15,4.7,4.6,A,Yes,"LinkedIn, Facebook"
Dana Point Coastal Access,Martin Johnson,(949) 555-2010,martin@danapointcoastalaccess.com,www.danapointcoastalaccess.com,19135 Pacific Coast Hwy,Dana Point,Orange,"South Coastal","Coastal accessibility, High-end projects, Smart home tech",Yes,CA-2002011,16,$4.7M,29,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Riverside Universal Access,Nancy Williams,(951) 555-3001,nancy@riversideuniversalaccess.com,www.riversideuniversalaccess.com,20246 Market St,Riverside,Riverside,"Western Riverside","CAPS certified, Complete accessibility, All modifications",Yes,CA-3002001,17,$4.1M,25,4.8,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Corona Home Adaptations Pro,Oscar Martinez,(951) 555-3002,oscar@coronahomeadaptationspro.com,www.coronahomeadaptationspro.com,21357 Main St,Corona,Riverside,"Western Riverside","Smart home specialists, Automation, Voice control",Yes,CA-3002002,13,$2.9M,17,4.8,4.6,A+,Yes,"LinkedIn, Instagram"
Moreno Valley Access Builders,Patricia Lopez,(951) 555-3003,patricia@morenovalleyaccessbuilders.com,www.morenovalleyaccessbuilders.com,22468 Alessandro Blvd,Moreno Valley,Riverside,"Western Riverside","Bathroom/kitchen specialists, VA projects, Grab bars",Yes,CA-3002003,11,$2.3M,13,4.7,4.5,A,Yes,"Facebook, Instagram"
Palm Springs Luxury Access,Quentin Anderson,(760) 555-3004,quentin@palmspringsluxuryaccess.com,www.palmspringsluxuryaccess.com,23579 Palm Canyon Dr,Palm Springs,Riverside,"Coachella Valley","High-end accessible design, Luxury modifications, Pool lifts",Yes,CA-3002004,20,$6.8M,42,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram, Twitter"
Temecula Accessible Living,Rachel Garcia,(951) 555-3005,rachel@temeculaaccessibleliving.com,www.temeculaaccessibleliving.com,24680 Ynez Rd,Temecula,Riverside,"Southwest Riverside","Complete home modifications, Elevator installation, All services",Yes,CA-3002005,14,$3.3M,19,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Murrieta Barrier-Free Builders,Samuel Brown,(951) 555-3006,samuel@murrietabarrierfreebuilders.com,www.murrietabarrierfreebuilders.com,25791 Madison Ave,Murrieta,Riverside,"Southwest Riverside","Ramps, Pathways, Exterior accessibility",Yes,CA-3002006,10,$2.1M,11,4.7,4.5,A,Yes,"Facebook, Instagram"
Indian Wells Elite Access,Teresa Rodriguez,(760) 555-3007,teresa@indianwellseliteaccess.com,www.indianwellseliteaccess.com,26802 Highway 111,Indian Wells,Riverside,"Coachella Valley","Ultra-luxury accessibility, High-end design, Smart home integration",Yes,CA-3002007,18,$7.2M,45,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Menifee Home Access Pro,Ulysses Johnson,(951) 555-3008,ulysses@menifeehomeaccesspro.com,www.menifeehomeaccesspro.com,27913 Newport Rd,Menifee,Riverside,"Southwest Riverside","Kitchen/bathroom remodeling, Accessible fixtures, CAPS certified",Yes,CA-3002008,12,$2.5M,14,4.7,4.6,A,Yes,"LinkedIn, Facebook"
Hemet Accessibility Solutions,Vanessa Martinez,(951) 555-3009,vanessa@hemetaccessibilitysolutions.com,www.hemetaccessibilitysolutions.com,28024 Florida Ave,Hemet,Riverside,"San Jacinto Valley","Complete modifications, VA specialists, All services",Yes,CA-3002009,13,$2.7M,16,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Lake Elsinore Adaptive Builders,Walter Davis,(951) 555-3010,walter@lakeelsinoreadaptivebuilders.com,www.lakeelsinoreadaptivebuilders.com,29135 Lakeshore Dr,Lake Elsinore,Riverside,"Southwest Riverside","Waterfront accessibility, Lake community specialists, Smart home",Yes,CA-3002010,11,$2.4M,13,4.7,4.5,A,Yes,"Facebook, Instagram"
Rancho Cucamonga Universal Design,Xavier Wilson,(909) 555-4001,xavier@rcuniversaldesign.com,www.rcuniversaldesign.com,30246 Foothill Blvd,Rancho Cucamonga,San Bernardino,"West End","CAPS certified, Universal design, High-end projects",Yes,CA-4002001,18,$4.5M,27,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Ontario Adaptive Construction,Yolanda Martinez,(909) 555-4002,yolanda@ontarioadaptiveconstruction.com,www.ontarioadaptiveconstruction.com,31357 Euclid Ave,Ontario,San Bernardino,"West End","Complete modifications, VA specialists, All services",Yes,CA-4002002,15,$3.4M,20,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Fontana Access Experts,Zachary Rodriguez,(909) 555-4003,zachary@fontanaaccessexperts.com,www.fontanaaccessexperts.com,32468 Sierra Ave,Fontana,San Bernardino,"West End","Smart home integration, Automation systems, Voice control",Yes,CA-4002003,12,$2.7M,15,4.8,4.6,A+,Yes,"LinkedIn, Instagram"
San Bernardino Home Access Pro,Alicia Brown,(909) 555-4004,alicia@sbhomeaccesspro.com,www.sbhomeaccesspro.com,33579 E St,San Bernardino,San Bernardino,"San Bernardino Metro","Bathroom/kitchen specialists, Grab bars, Accessible fixtures",Yes,CA-4002004,13,$2.8M,16,4.7,4.6,A,Yes,"Facebook, Instagram"
Victorville Accessible Homes,Benjamin Johnson,(760) 555-4005,benjamin@victorvilleaccessiblehomes.com,www.victorvilleaccessiblehomes.com,34680 Bear Valley Rd,Victorville,San Bernardino,"High Desert","Complete home adaptations, Elevator installation, All modifications",Yes,CA-4002005,14,$3.1M,18,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Hesperia Barrier-Free Solutions,Carla Davis,(760) 555-4006,carla@hesperiabarrierfree.com,www.hesperiabarrierfree.com,35791 Main St,Hesperia,San Bernardino,"High Desert","Ramps, Pathways, Exterior accessibility",No,CA-4002006,9,$1.9M,9,4.6,4.4,A,Yes,"Facebook"
Apple Valley Access Builders,Dennis Martinez,(760) 555-4007,dennis@applevalleyaccessbuilders.com,www.applevalleyaccessbuilders.com,36802 Highway 18,Apple Valley,San Bernardino,"High Desert","Pool accessibility, Aquatic lifts, Outdoor modifications",Yes,CA-4002007,11,$2.3M,12,4.7,4.5,A,Yes,"Facebook, Instagram"
Redlands Universal Access,Emma Wilson,(909) 555-4008,emma@redlandsuniversalaccess.com,www.redlandsuniversalaccess.com,37913 Orange St,Redlands,San Bernardino,"Redlands Area","CAPS certified, Complete accessibility, Historic home specialists",Yes,CA-4002008,19,$4.6M,28,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Upland Adaptive Living,Felix Rodriguez,(909) 555-4009,felix@uplandadaptiveliving.com,www.uplandadaptiveliving.com,38024 Mountain Ave,Upland,San Bernardino,"West End","Kitchen/bathroom remodeling, Smart home, All modifications",Yes,CA-4002009,13,$2.9M,17,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Chino Home Accessibility,Grace Garcia,(909) 555-4010,grace@chinohomeaccessibility.com,www.chinohomeaccessibility.com,39135 Central Ave,Chino,San Bernardino,"Chino Valley","Complete modifications, VA specialists, Veteran-owned business",Yes,CA-4002010,16,$3.7M,23,4.9,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
Yucaipa Accessible Solutions,Harold Martinez,(909) 555-4011,harold@yucaipaaccessiblesolutions.com,www.yucaipaaccessiblesolutions.com,40246 Yucaipa Blvd,Yucaipa,San Bernardino,"Yucaipa Valley","Elevator installation, Stair lifts, Multi-story accessibility",Yes,CA-4002011,12,$2.6M,15,4.8,4.6,A+,Yes,"LinkedIn, Facebook"
Rialto Barrier-Free Homes,Irene Davis,(909) 555-4012,irene@rialtobarrierfree.com,www.rialtobarrierfree.com,41357 Foothill Blvd,Rialto,San Bernardino,"West End","Bathroom/kitchen specialists, Accessible design, CAPS certified",Yes,CA-4002012,10,$2.2M,12,4.7,4.5,A,Yes,"Facebook, Instagram"
Highland Access Contractors,Joseph Wilson,(909) 555-4013,joseph@highlandaccesscontractors.com,www.highlandaccesscontractors.com,42468 Highland Ave,Highland,San Bernardino,"East San Bernardino","Complete home modifications, All services, VA projects",Yes,CA-4002013,14,$3.2M,19,4.8,4.7,A+,Yes,"LinkedIn, Facebook"
Loma Linda Medical Access,Karen Martinez,(909) 555-4014,karen@lomalindam edicalaccess.com,www.lomalindamedicalaccess.com,43579 Barton Rd,Loma Linda,San Bernardino,"Redlands Area","Medical-grade accessibility, Hospital proximity specialists, Healthcare focus",Yes,CA-4002014,17,$4.3M,26,4.9,4.8,A+,Yes,"LinkedIn, Facebook, Instagram"
Big Bear Mountain Access,Leonard Rodriguez,(909) 555-4015,leonard@bigbearmountainaccess.com,www.bigbearmountainaccess.com,44680 Big Bear Blvd,Big Bear,San Bernardino,"Mountain Communities","Mountain home specialists, Snow/weather considerations, Specialized builds",Yes,CA-4002015,16,$3.8M,22,4.8,4.7,A+,Yes,"LinkedIn, Facebook, Instagram"
