scholarship_name,organization,amount,application_deadline,eligibility_requirements,branch_specific,education_level,award_type,renewable,contact_email,website,notes
Oregon Department of Veterans Affairs Scholarship,ODVA,"$1,200",April 30,"Oregon veterans and dependents",All Branches,Undergraduate,Merit-based,No,odva.info@odva.state.or.us,https://www.oregon.gov/odva,"Oregon residents"
Tennessee Department of Veterans Services Scholarship,TDVS,"$1,000",May 15,"Tennessee veterans and dependents",All Branches,Undergraduate,Merit-based,No,tn.veterans@tn.gov,https://www.tn.gov/veteran,"Tennessee residents"
Indiana Department of Veterans Affairs Scholarship,IDVA,"$1,500",March 31,"Indiana veterans and dependents",All Branches,Undergraduate,Merit-based,No,idva@idva.in.gov,https://www.in.gov/dva,"Indiana residents"
Wisconsin Department of Veterans Affairs Scholarship,WDVA,"$1,200",April 1,"Wisconsin veterans and dependents",All Branches,Undergraduate,Merit-based,No,wdva@dva.wisconsin.gov,https://www.dva.wisconsin.gov,"Wisconsin residents"
Minnesota Department of Veterans Affairs Scholarship,MDVA,"$1,000",May 1,"Minnesota veterans and dependents",All Branches,Undergraduate,Merit-based,No,mdva@state.mn.us,https://www.mn.gov/mdva,"Minnesota residents"
Alabama Department of Veterans Affairs Scholarship,ADVA,"$1,500",March 31,"Alabama veterans and dependents",All Branches,Undergraduate,Merit-based,No,adva@va.alabama.gov,https://www.va.alabama.gov,"Alabama residents"
South Carolina Division of Veterans Affairs Scholarship,SCDVA,"$1,000",April 15,"South Carolina veterans and dependents",All Branches,Undergraduate,Merit-based,No,scdva@admin.sc.gov,https://www.govstatus.egov.com/scdva,"South Carolina residents"
Kentucky Department of Veterans Affairs Scholarship,KDVA,"$1,200",May 1,"Kentucky veterans and dependents",All Branches,Undergraduate,Merit-based,No,kdva@ky.gov,https://www.veterans.ky.gov,"Kentucky residents"
Louisiana Department of Veterans Affairs Scholarship,LDVA,"$1,000",March 31,"Louisiana veterans and dependents",All Branches,Undergraduate,Merit-based,No,ldva@vetaffairs.la.gov,https://www.vetaffairs.la.gov,"Louisiana residents"
Mississippi Veterans Affairs Board Scholarship,MVAB,"$1,500",April 1,"Mississippi veterans and dependents",All Branches,Undergraduate,Merit-based,No,mvab@vab.ms.gov,https://www.vab.ms.gov,"Mississippi residents"
Arkansas Department of Veterans Affairs Scholarship,ADVA,"$1,000",May 15,"Arkansas veterans and dependents",All Branches,Undergraduate,Merit-based,No,adva@arkansas.gov,https://www.veterans.arkansas.gov,"Arkansas residents"
Missouri Veterans Commission Scholarship,MVC,"$1,200",April 30,"Missouri veterans and dependents",All Branches,Undergraduate,Merit-based,No,mvc@mvc.dps.mo.gov,https://www.mvc.dps.mo.gov,"Missouri residents"
Oklahoma Department of Veterans Affairs Scholarship,ODVA,"$1,500",March 31,"Oklahoma veterans and dependents",All Branches,Undergraduate,Merit-based,No,odva@odva.ok.gov,https://www.ok.gov/veterans,"Oklahoma residents"
Kansas Commission on Veterans Affairs Scholarship,KCVA,"$1,000",April 1,"Kansas veterans and dependents",All Branches,Undergraduate,Merit-based,No,kcva@kcva.ks.gov,https://www.kcva.ks.gov,"Kansas residents"
Nebraska Department of Veterans Affairs Scholarship,NDVA,"$1,200",May 1,"Nebraska veterans and dependents",All Branches,Undergraduate,Merit-based,No,ndva@veterans.nebraska.gov,https://www.veterans.nebraska.gov,"Nebraska residents"
Iowa Department of Veterans Affairs Scholarship,IDVA,"$1,500",March 31,"Iowa veterans and dependents",All Branches,Undergraduate,Merit-based,No,idva@iowa.gov,https://www.iowava.org,"Iowa residents"
Illinois Department of Veterans Affairs Scholarship,IDVA,"$1,000",April 15,"Illinois veterans and dependents",All Branches,Undergraduate,Merit-based,No,idva@illinois.gov,https://www.illinois.gov/veterans,"Illinois residents"
Massachusetts Department of Veterans Services Scholarship,Mass DVS,"$1,200",May 1,"Massachusetts veterans and dependents",All Branches,Undergraduate,Merit-based,No,massdvs@mass.gov,https://www.mass.gov/veterans,"Massachusetts residents"
Connecticut Department of Veterans Affairs Scholarship,CT DVA,"$1,500",March 31,"Connecticut veterans and dependents",All Branches,Undergraduate,Merit-based,No,ctdva@ct.gov,https://www.ct.gov/ctva,"Connecticut residents"
New Jersey Department of Military and Veterans Affairs Scholarship,NJ DMAVA,"$1,000",April 1,"New Jersey veterans and dependents",All Branches,Undergraduate,Merit-based,No,njdmava@njdmava.state.nj.us,https://www.state.nj.us/military,"New Jersey residents"
Maryland Department of Veterans Affairs Scholarship,MDVA,"$1,200",May 15,"Maryland veterans and dependents",All Branches,Undergraduate,Merit-based,No,mdva@maryland.gov,https://www.veterans.maryland.gov,"Maryland residents"
Delaware Commission of Veterans Affairs Scholarship,DCVA,"$1,500",March 31,"Delaware veterans and dependents",All Branches,Undergraduate,Merit-based,No,dcva@delaware.gov,https://www.veteransaffairs.delaware.gov,"Delaware residents"
West Virginia Department of Veterans Assistance Scholarship,WV DVA,"$1,000",April 15,"West Virginia veterans and dependents",All Branches,Undergraduate,Merit-based,No,wvdva@wv.gov,https://www.veterans.wv.gov,"West Virginia residents"
Nevada Department of Veterans Services Scholarship,NDVS,"$1,200",May 1,"Nevada veterans and dependents",All Branches,Undergraduate,Merit-based,No,ndvs@veterans.nv.gov,https://www.veterans.nv.gov,"Nevada residents"
New Mexico Department of Veterans Services Scholarship,NMDVS,"$1,500",March 31,"New Mexico veterans and dependents",All Branches,Undergraduate,Merit-based,No,nmdvs@state.nm.us,https://www.nmdvs.org,"New Mexico residents"
Utah Department of Veterans and Military Affairs Scholarship,UDVMA,"$1,000",April 1,"Utah veterans and dependents",All Branches,Undergraduate,Merit-based,No,udvma@utah.gov,https://www.veterans.utah.gov,"Utah residents"
Idaho Division of Veterans Services Scholarship,IDVS,"$1,200",May 15,"Idaho veterans and dependents",All Branches,Undergraduate,Merit-based,No,idvs@veterans.idaho.gov,https://www.veterans.idaho.gov,"Idaho residents"
Montana Veterans Affairs Division Scholarship,MVAD,"$1,500",March 31,"Montana veterans and dependents",All Branches,Undergraduate,Merit-based,No,mvad@mt.gov,https://www.montanaveterans.mt.gov,"Montana residents"
Wyoming Veterans Commission Scholarship,WVC,"$1,000",April 15,"Wyoming veterans and dependents",All Branches,Undergraduate,Merit-based,No,wvc@wyo.gov,https://www.wyomilitary.wyo.gov/veterans-commission,"Wyoming residents"
North Dakota Department of Veterans Affairs Scholarship,NDDVA,"$1,200",May 1,"North Dakota veterans and dependents",All Branches,Undergraduate,Merit-based,No,nddva@nd.gov,https://www.nd.gov/veterans,"North Dakota residents"
South Dakota Department of Veterans Affairs Scholarship,SDDVA,"$1,500",March 31,"South Dakota veterans and dependents",All Branches,Undergraduate,Merit-based,No,sddva@state.sd.us,https://www.vetaffairs.sd.gov,"South Dakota residents"
Alaska Department of Military and Veterans Affairs Scholarship,AK DMVA,"$1,000",April 1,"Alaska veterans and dependents",All Branches,Undergraduate,Merit-based,No,akdmva@alaska.gov,https://www.veterans.alaska.gov,"Alaska residents"
Hawaii Department of Defense Office of Veterans Services Scholarship,HI OVS,"$1,200",May 15,"Hawaii veterans and dependents",All Branches,Undergraduate,Merit-based,No,ovs@hawaii.gov,https://www.dod.hawaii.gov/ovs,"Hawaii residents"
Xerox Technical Minority Scholarship,Xerox,"$10,000",September 30,"Veterans in technical fields (STEM)",All Branches,Undergraduate/Graduate,Merit-based,Yes,xtms@alliance.com,https://www.xerox.com/jobs/minority-scholarships,"Minority STEM students"
Microsoft Military Affairs Scholarship,Microsoft,"$5,000",March 1,"Veterans pursuing computer science",All Branches,Undergraduate/Graduate,Merit-based,No,military@microsoft.com,https://www.microsoft.com/military,"Tech field focus"
Amazon Military Spouse Technical Scholarship,Amazon,"$8,000",April 1,"Military spouses pursuing tech degrees",All Branches,Undergraduate/Graduate/Bootcamp,Merit-based,No,militarytalent@amazon.com,https://www.amazoncareerchoice.com,"Cloud computing, software development"
Google Veterans and Families Scholarship,Google,"$10,000",February 15,"Veterans, spouses pursuing computer science",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@google.com,https://www.google.com/veterans,"Computer science focus"
Adobe Digital Academy Scholarship,Adobe,"Full Tuition",Rolling,"Veterans pursuing web development bootcamp",All Branches,Bootcamp,Merit-based,No,veterans@adobe.com,https://www.adobe.com/careers/veterans,"Full bootcamp tuition"
Salesforce Military Trailblazer Scholarship,Salesforce,"$5,000",March 15,"Veterans pursuing technology certifications",All Branches,Certification,Merit-based,No,military@salesforce.com,https://www.salesforce.com/company/careers/military,"Salesforce certification path"
Lockheed Martin STEM Scholarship,Lockheed Martin,"$10,000",March 31,"Veterans pursuing aerospace, engineering",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@lmco.com,https://www.lockheedmartin.com/en-us/who-we-are/veterans.html,"Defense contractor focus"
Boeing Military and Veterans Affairs Scholarship,Boeing,"$7,500",April 15,"Veterans pursuing aerospace engineering",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@boeing.com,https://www.boeing.com/careers/veterans,"Aerospace focus"
Raytheon Technologies Military Scholarship,Raytheon,"$10,000",March 1,"Veterans in engineering, cybersecurity",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@rtx.com,https://www.rtx.com/careers/veterans,"Defense technology"
General Dynamics Veteran Scholarship,General Dynamics,"$5,000",April 30,"Veterans pursuing engineering, IT",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@gd.com,https://www.gd.com/careers/veterans,"Defense industry"
Northrop Grumman Foundation Scholarship,Northrop Grumman,"$10,000",March 15,"Veterans in STEM fields",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@ngc.com,https://www.northropgrumman.com/careers/veterans,"Aerospace and defense"
BAE Systems Military Scholarship,BAE Systems,"$5,000",April 1,"Veterans pursuing engineering, cybersecurity",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@baesystems.com,https://www.baesystems.com/en-us/careers/careers-in-the-us/military-and-veterans,"Defense systems focus"
L3Harris Technologies Veteran Scholarship,L3Harris,"$7,500",March 31,"Veterans in engineering, technology",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@l3harris.com,https://www.l3harris.com/careers/veterans,"Communications, electronics"
CACI International Veteran Scholarship,CACI,"$5,000",April 15,"Veterans in IT, intelligence, cybersecurity",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@caci.com,https://www.caci.com/careers/veterans,"Intelligence and IT focus"
Booz Allen Hamilton Military Scholarship,Booz Allen Hamilton,"$8,000",March 1,"Veterans pursuing cybersecurity, data science",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@bah.com,https://www.boozallen.com/careers/military.html,"Consulting and tech"
Leidos Military Affairs Scholarship,Leidos,"$6,000",April 30,"Veterans in STEM, engineering fields",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@leidos.com,https://www.leidos.com/careers/military,"Defense and technology"
ManTech International Veteran Scholarship,ManTech,"$5,000",March 15,"Veterans in cybersecurity, IT, engineering",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@mantech.com,https://www.mantech.com/careers/military,"National security technology"
SAIC Military Scholarship Program,SAIC,"$7,000",April 1,"Veterans pursuing technology degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@saic.com,https://www.saic.com/careers/military-and-veterans,"Government IT services"
General Electric Military Veteran Scholarship,General Electric,"$5,000",March 31,"Veterans pursuing engineering, manufacturing",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@ge.com,https://www.ge.com/careers/veterans,"Advanced manufacturing focus"
JPMorgan Chase Military Service Scholarship,JPMorgan Chase,"$10,000",April 15,"Veterans pursuing business, finance, technology",All Branches,Undergraduate/Graduate,Merit-based,No,military@jpmchase.com,https://www.jpmorganchase.com/careers/military,"Financial services"
Bank of America Military Support Scholarship,Bank of America,"$5,000",March 1,"Veterans pursuing business, finance degrees",All Branches,Undergraduate/Graduate,Merit-based,No,military@bankofamerica.com,https://www.bankofamerica.com/careers/military-support,"Banking and finance"
Wells Fargo Veterans Scholarship,Wells Fargo,"$7,500",April 30,"Veterans pursuing business, IT degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@wellsfargo.com,https://www.wellsfargo.com/about/careers/military,"Financial technology"
Citigroup Military Family Scholarship,Citigroup,"$5,000",March 15,"Military families pursuing finance, business",All Branches,Undergraduate/Graduate,Merit-based,No,military@citi.com,https://www.citigroup.com/citi/about/corporate-responsibility/military.html,"Global banking focus"
Starbucks College Achievement Plan,Starbucks,"Full Tuition",Rolling,"Starbucks partners (employees) including veterans",All Branches,Undergraduate,Employment-based,Yes,veterans@starbucks.com,https://www.starbucks.com/careers/working-at-starbucks/education,"ASU Online partnership"
Walmart Military Opportunity Scholarship,Walmart,"$5,000",April 1,"Walmart associates who are veterans, families",All Branches,Undergraduate,Employment-based,No,veterans@walmart.com,https://www.walmart.com/careers/veterans,"Retail management focus"
Home Depot Foundation Skilled Trades Scholarship,Home Depot,"$10,000",March 31,"Veterans pursuing skilled trades training",All Branches,Certification/Trade School,Merit-based,No,thdf@homedepot.com,https://www.homedepotfoundation.org/,"Construction trades"
UPS Military Logistics Scholarship,UPS,"$5,000",April 15,"Veterans pursuing logistics, supply chain",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@ups.com,https://www.jobs-ups.com/military,"Logistics and operations"
FedEx Military Scholarship,FedEx,"$7,500",March 1,"Veterans pursuing business, logistics degrees",All Branches,Undergraduate/Graduate,Merit-based,No,military@fedex.com,https://www.fedex.com/en-us/careers/military.html,"Transportation and logistics"
Costco Wholesale Military Scholarship,Costco,"$5,000",April 30,"Costco employees who are veterans, families",All Branches,Undergraduate,Employment-based,No,veterans@costco.com,https://www.costco.com/jobs-veterans.html,"Retail operations"
Target Military Scholarship,Target,"$5,000",March 15,"Target team members who are veterans",All Branches,Undergraduate,Employment-based,No,military@target.com,https://www.target.com/c/careers-military/-/N-nz7r6,"Career advancement"
AT&T Military Scholarship Program,AT&T,"$10,000",April 1,"Veterans pursuing technology, communications",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@att.com,https://www.att.com/careers/military,"Telecommunications focus"
Verizon Military Scholarship,Verizon,"$5,000",March 31,"Veterans pursuing technology degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@verizon.com,https://www.verizon.com/about/careers/military,"Network technology"
Comcast NBCUniversal Military Scholarship,Comcast,"$7,500",April 15,"Veterans pursuing technology, media degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@comcast.com,https://www.comcastcareers.com/military,"Media and technology"
Union Pacific Railroad Military Scholarship,Union Pacific,"$5,000",March 1,"Veterans pursuing logistics, engineering",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@up.com,https://www.up.com/careers/veterans,"Railroad operations"
BNSF Railway Military Scholarship,BNSF,"$5,000",April 30,"Veterans pursuing transportation, logistics",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@bnsf.com,https://www.bnsf.com/careers/military,"Railway transportation"
Duke Energy Military Scholarship,Duke Energy,"$5,000",March 15,"Veterans pursuing energy, engineering degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@duke-energy.com,https://www.duke-energy.com/our-company/careers/military,"Energy sector"
Exelon Corporation Military Scholarship,Exelon,"$7,500",April 1,"Veterans pursuing energy, utilities degrees",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@exeloncorp.com,https://www.exeloncorp.com/careers/veterans,"Utilities and energy"
Southern Company Military Scholarship,Southern Company,"$5,000",March 31,"Veterans pursuing energy sector careers",All Branches,Undergraduate/Graduate,Merit-based,No,veterans@southernco.com,https://www.southerncompany.com/careers/veterans.html,"Electric utilities"
