installation_name,branch,state,city,office_name,building_location,phone,email,website,walk_in_hours,appointment_scheduling,services_offered,skillbridge_available,notes
Malmstrom Air Force Base,Air Force,Montana,Great Falls,Military and Family Readiness Center,Building 911 3rd Avenue North,(406) 731-4808,341fss.tap@us.af.mil,https://malmstromfss.com,Mon-Fri 7:30-4:30,Email or phone,TAP services; Career counseling; ICBM operations; SkillBridge,Yes,Intercontinental ballistic missiles
Joint Base Charleston,Joint,South Carolina,Charleston,Transition Assistance Program,Building 500 Minuteman Road,(843) 963-5700,628fss.tap@us.af.mil,https://jbcharlestonfss.com,Mon-Fri 7:30-4:30,Call or online,TAP workshops; Career services; Airlift operations; SkillBridge; Multi-service,Yes,Major airlift hub
Joint Base McGuire-Dix-Lakehurst,Joint,New Jersey,Joint Base MDL,Transition Assistance,Building 2901 Constitution Way,(609) 754-2827,87fss.tap@us.af.mil,https://jbmdlfss.com,Mon-Fri 7:30-4:30,Phone appointment,TAP services; Career counseling; Multi-service; SkillBridge; Northeast,Yes,Tri-service joint base
Joint Base Anacostia-Bolling,Joint,District of Columbia,Washington DC,Transition Assistance,Building 168 Brookley Avenue,(202) 284-4473,11fss.mfrc.taporg@us.af.mil,https://jbabfss.com,Mon-Fri 7:30-4:30,Email preferred,TAP workshops; Career services; National Capital Region; SkillBridge,Yes,Washington DC joint base
Joint Base Pearl Harbor-Hickam,Joint,Hawaii,Honolulu,Transition Assistance Program,Building 1740 Merry Point Road,(808) 473-6899,15fss.tap@us.af.mil,https://jbphhfss.com,Mon-Fri 7:30-4:00,Call or email,TAP services; Career counseling; Pacific operations; SkillBridge; Multi-service,Yes,Pacific joint Army-Navy-Air Force
Quantico Marine Corps Base,Marines,Virginia,Quantico,Transition Readiness,Building 3019,(703) 784-2511,joline.miller@usmc.mil,https://quantico.usmc-mccs.org,Mon-Fri 7:15-4:30,Phone or email,TRS workshops; Career counseling; Officer training; SkillBridge,Yes,Marine Corps University and FBI Academy
Marine Corps Air Ground Combat Center,Marines,California,Twentynine Palms,Transition Readiness,Building 1551,(760) 830-6466,plmsppd@usmc.mil,https://29palms.usmc-mccs.org,Mon-Fri 7:30-4:30,Email preferred,TRS; Career services; Desert training; SkillBridge,Yes,Combat training center
Marine Corps Logistics Base Albany,Marines,Georgia,Albany,Transition Readiness Program,Building 3001,(229) 639-5523,albany.trp@usmc.mil,https://albany.usmc-mccs.org,Mon-Fri 7:30-4:00,Call or walk-in,Transition seminars; Career counseling; Logistics; SkillBridge,Yes,Logistics and maintenance hub
Marine Corps Logistics Base Barstow,Marines,California,Barstow,Transition Readiness,Building 204,(760) 577-6430,barstow.trp@usmc.mil,https://barstow.usmc-mccs.org,Mon-Fri 7:30-4:00,Phone appointment,TRS workshops; Career services; Logistics support; SkillBridge,Yes,Logistics and maintenance center
Marine Corps Recruit Depot San Diego,Marines,California,San Diego,Transition Readiness Program,Building 26 Barnett Avenue,(619) 524-8720,mcrdsd.trp@usmc.mil,https://mcrdsd.usmc-mccs.org,Mon-Fri 7:30-4:30,Email or call,Transition seminars; Career counseling; Recruit training; SkillBridge,Yes,West Coast recruit training
Marine Corps Recruit Depot Parris Island,Marines,South Carolina,Parris Island,Transition Readiness,Building 905 Blvd de France,(843) 228-2345,parrisland.trp@usmc.mil,https://parrisland.usmc-mccs.org,Mon-Fri 7:30-4:30,Call ahead,TRS workshops; Career services; Recruit training; SkillBridge,Yes,East Coast recruit training
Marine Corps Base Camp Smedley D Butler,Marines,Japan,Okinawa,Transition Readiness Program,Building 5674,(011) 81-98-970-5674,okinawa.trp@usmc.mil,https://okinawa.usmc-mccs.org,Mon-Fri 8:00-5:00,Email preferred,TRS; Career counseling; Pacific operations; SkillBridge; Japan,Yes,Major Pacific Marine base
MCB Camp Pendleton South,Marines,California,Oceanside,Career Services,Building 1171,(760) 725-8740,pendleton.careers@usmc.mil,https://pendleton.usmc-mccs.org,Mon-Fri 8:00-4:00,Walk-in or call,Resume services; Job search; Career counseling; Networking,Yes,South side MCBCP services
Naval Submarine Base New London,Navy,Connecticut,Groton,Fleet and Family Support Center,Building 83 Wahoo Road,(860) 694-3705,subaseffsc@navy.mil,https://newlondon.navylifenewengland.com,Mon-Fri 7:30-4:00,Phone or email,Transition GPS; Career counseling; Submarine community; SkillBridge,Yes,Submarine training center
Naval Air Station Whidbey Island,Navy,Washington,Oak Harbor,Fleet and Family Support Center,Building 13 Lexington Boulevard,(360) 257-2465,naswi.ffsc@navy.mil,https://whidbey.navylifepnw.com,Mon-Fri 7:30-4:00,Walk-in or call,TGPS workshops; Career services; Aviation; SkillBridge; Electronic warfare,Yes,EA-18G Growler base
Naval Support Activity Naples,Navy,Italy,Naples,Fleet and Family Support Center,Building 1 Via Marconi,(011) 39-081-568-4855,nsa.naples.ffsc@navy.mil,https://naples.navylifesw.com,Mon-Fri 8:00-4:00,Email preferred,Transition GPS; Career counseling; Europe operations; SkillBridge,Yes,Major European naval base
Naval Station Rota,Navy,Spain,Rota,Fleet and Family Support Center,Building 731,(011) 34-956-82-2666,nsrota.ffsc@navy.mil,https://rota.navylifesw.com,Mon-Fri 7:30-4:00,Call ahead,TGPS; Career services; Europe support; SkillBridge; Strategic location,Yes,Strategic Mediterranean base
Naval Air Station Lemoore,Navy,California,Lemoore,Fleet and Family Support Center,Building 642 Langley Avenue,(559) 998-4917,naslemoore.ffsc@navy.mil,https://lemoore.navylifesw.com,Mon-Fri 7:30-4:00,Phone or walk-in,Transition GPS; Career counseling; Strike fighter; SkillBridge; Aviation,Yes,Strike fighter training center
Naval Air Station Fallon,Navy,Nevada,Fallon,Fleet and Family Support Center,Building 300 Pasture Road,(775) 426-5733,nasfallon.ffsc@navy.mil,https://fallon.navylifesw.com,Mon-Fri 7:30-4:00,Email or call,TGPS workshops; Career services; Strike warfare; SkillBridge; Aviation,Yes,Naval strike warfare center
Naval Station Everett,Navy,Washington,Everett,Fleet and Family Support Center,Building 1787 West Marine View Drive,(425) 304-3084,nseverett.ffsc@navy.mil,https://everett.navylifepnw.com,Mon-Fri 7:30-4:00,Call or walk-in,Transition GPS; Career counseling; Surface fleet; SkillBridge,Yes,Pacific Northwest naval station
Naval Air Station Corpus Christi,Navy,Texas,Corpus Christi,Fleet and Family Support Center,Building 44 Ocean Drive,(361) 961-2765,nascc.ffsc@navy.mil,https://corpuschristi.navylifesw.com,Mon-Fri 7:30-4:00,Phone appointment,TGPS; Career services; Flight training; SkillBridge; South Texas,Yes,Primary flight training
Naval Air Station Patuxent River,Navy,Maryland,Patuxent River,Fleet and Family Support Center,Building 402 MacArthur Road,(301) 342-4911,naspax-ffsc@us.navy.mil,https://patuxent.navylifemw.com,Mon-Fri 7:30-4:00,Email preferred,Transition GPS; Career counseling; Test pilot; SkillBridge; Aviation R&D,Yes,Naval test pilot school
Naval Base Ventura County,Navy,California,Port Hueneme,Fleet and Family Support Center,Building 1000 23rd Avenue,(805) 982-5526,nbvc.ffsc@navy.mil,https://ventura.navylifesw.com,Mon-Fri 7:30-4:00,Walk-in or call,TGPS workshops; Career services; Seabees; SkillBridge; Construction,Yes,Seabee center and port ops
Coast Guard Training Center Cape May,Coast Guard,New Jersey,Cape May,Work-Life Center,Building 20 Munro Avenue,(609) 898-6999,tracen.capemay.worklife@uscg.mil,https://www.dcms.uscg.mil/cape-may,Mon-Fri 7:30-4:00,Call or email,TAP services; Career counseling; Recruit training; SkillBridge,Yes,Coast Guard recruit training
Coast Guard Academy,Coast Guard,Connecticut,New London,Work-Life Services,15 Mohegan Avenue,(860) 444-8424,academy.worklife@uscg.mil,https://www.uscga.edu,Mon-Fri 7:30-4:00,Phone appointment,Transition assistance; Career services; Officer training,Yes,Coast Guard officer academy
Coast Guard Base Seattle,Coast Guard,Washington,Seattle,Work-Life Center,1519 Alaskan Way South,(206) 217-6240,seattle.worklife@uscg.mil,https://www.dcms.uscg.mil/seattle,Mon-Fri 7:30-4:00,Email or walk-in,TAP workshops; Career counseling; Pacific Northwest,Yes,Major Pacific Coast Guard base
Coast Guard Base Portsmouth,Coast Guard,Virginia,Portsmouth,Work-Life Services,1664 Shipyard Drive,(757) 686-4175,portsmouth.worklife@uscg.mil,https://www.dcms.uscg.mil/portsmouth,Mon-Fri 7:30-4:00,Call ahead,Transition assistance; Career services; Mid-Atlantic,Yes,Coast Guard Finance Center
Coast Guard Island,Coast Guard,California,Alameda,Work-Life Center,Coast Guard Island,(510) 437-3700,alameda.worklife@uscg.mil,https://www.dcms.uscg.mil/alameda,Mon-Fri 7:30-4:00,Phone or email,TAP services; Career counseling; Training center,Yes,Major West Coast training center
