company_name,industry,headquarters_state,company_size,veteran_hiring_commitment,military_recruiter_contact,careers_page_url,veteran_specific_url,skillbridge_partner,apprenticeship_programs,security_clearance_jobs,remote_opportunities,top_veteran_roles,application_tips,notes
Capgemini,Consulting,France/US Operations,360000,Active veteran hiring,veteranrecruiting@capgemini.com,https://www.capgemini.com/careers,https://www.capgemini.com/us-en/careers/diversity/veterans,Yes,No,Yes,Yes,"Technology Consultant, Software Developer, Business Analyst, Project Manager, Cybersecurity","IT consulting and services, technical background",Global IT consulting
Cognizant,IT Services,New Jersey,345400,Veteran recruitment focus,veterancareers@cognizant.com,https://careers.cognizant.com,https://www.cognizant.com/us/en/about-cognizant/careers/military-and-veterans,Yes,No,Yes,Yes,"Software Developer, Business Analyst, IT Consultant, Quality Assurance, Project Manager","IT services and consulting, technical skills valued",IT services company
ManpowerGroup,Staffing,Wisconsin,30000,Ongoing veteran programs,veteranjobs@manpowergroup.com,https://www.manpowergroup.com/careers,https://www.manpowergroup.com/military,Yes,No,No,Yes,"Recruiter, Account Manager, Staffing Specialist, Operations, IT roles","Staffing and workforce solutions, helps place veterans",Workforce solutions company
Robert Half,Staffing,California,17500,Veteran hiring initiatives,veterancareers@roberthalf.com,https://www.roberthalf.com/us/en/about-us/working-here,https://www.roberthalf.com/us/en/about-us/working-here/military,Yes,No,No,Yes,"Recruiter, Account Executive, Staffing Manager, Finance/Accounting roles","Professional staffing, helps veterans find jobs",Specialized staffing firm
Kelly Services,Staffing,Michigan,7000,Active veteran recruitment,veteranjobs@kellyservices.com,https://www.kellyservices.com/global/careers,https://www.kellyservices.com/us/careers/military-transition-support,Yes,No,No,Yes,"Recruiter, Staffing Specialist, Account Manager, Various placements","Workforce solutions, veteran placement services",Staffing and outsourcing
Aerotek,Staffing,Maryland,8000,Veteran recruitment programs,veterancareers@aerotek.com,https://jobs.aerotek.com,https://www.aerotek.com/en/about-us/diversity/military,Yes,No,No,Yes,"Recruiter, Account Manager, Various skilled trades, Engineering, IT","Technical and skilled trades staffing, veteran-focused",Technical recruiting firm
TEKsystems,Staffing,Maryland,4200,Military Friendly Employer 2024,veteranjobs@teksystems.com,https://www.teksystems.com/careers,https://www.teksystems.com/careers/veterans,Yes,No,No,Yes,"IT Recruiter, Account Executive, Various IT placements, Project Manager","IT staffing and services, technology focus",IT staffing and services
General Motors,Automotive,Michigan,163000,Ongoing veteran hiring,veterancareers@gm.com,https://search-careers.gm.com,https://www.gm.com/commitments/veterans,Yes,Yes,No,Limited,"Manufacturing, Engineer, Quality, Supply Chain, Technician","Automotive manufacturing, technical skills valued",Major automaker
Ford Motor Company,Automotive,Michigan,177000,Active veteran recruitment,veteranjobs@ford.com,https://corporate.ford.com/careers.html,https://corporate.ford.com/careers/culture/inclusion/veterans.html,Yes,Yes,No,Limited,"Manufacturing, Engineer, Quality Technician, Supply Chain, Product Development","Auto manufacturing, technical and manufacturing roles",Major automaker
Stellantis (Chrysler),Automotive,Michigan,282000,Veteran hiring programs,veterancareers@stellantis.com,https://www.stellantis.com/careers,https://www.stellantis.com/en/careers/diversity-equity-and-inclusion/veterans,Yes,Yes,No,Limited,"Manufacturing Associate, Engineer, Quality, Maintenance, Supply Chain","Automotive group, manufacturing opportunities",Multinational automaker
Tesla,Automotive/Energy,California,127855,Ongoing veteran recruitment,veteranjobs@tesla.com,https://www.tesla.com/careers,https://www.tesla.com/careers/culture/veterans,Yes,No,No,Limited,"Manufacturing Associate, Technician, Engineer, Quality, Production","Electric vehicles and energy, fast-paced environment",EV and clean energy
Toyota,Automotive,Texas,63000,Veteran recruitment focus,veterancareers@toyota.com,https://www.toyota.com/usa/careers,https://www.toyota.com/usa/operations/map.html#!/community/veterans,Yes,Yes,No,Limited,"Manufacturing, Quality Technician, Engineer, Maintenance, Logistics","Automotive manufacturing, Toyota Production System training",Major automaker
Honda,Automotive,Ohio,23000,Active veteran hiring,veteranjobs@honda.com,https://www.honda.com/careers,https://careers.honda.com/diversity/veterans,Yes,No,No,Limited,"Manufacturing Associate, Quality Technician, Engineer, Maintenance, Production","Auto and power equipment manufacturing",Automotive manufacturer
Nissan,Automotive,Tennessee,21000,Veteran recruitment programs,veterancareers@nissan.com,https://www.nissan-career.com,https://www.nissanusa.com/about/careers/diversity/veterans.html,Yes,No,No,No,"Manufacturing, Engineer, Quality Control, Maintenance, Supply Chain","Automotive manufacturing operations",Japanese automaker
Hyundai,Automotive,California,16000,Ongoing veteran hiring,veteranjobs@hmausa.com,https://www.hyundaiusa.com/us/en/about-hyundai/careers,https://www.hyundaiusa.com/us/en/about-hyundai/careers/veterans,Yes,No,No,Limited,"Manufacturing, Quality Inspector, Maintenance Technician, Engineer, Production","Automotive manufacturing, growing U.S. presence",Korean automaker
Caterpillar,Heavy Equipment,Illinois,107700,Veteran hiring initiatives,veterancareers@cat.com,https://www.caterpillar.com/careers,https://www.caterpillar.com/en/careers/career-areas/military.html,Yes,Yes,No,Limited,"Service Technician, Manufacturing, Engineer, Welder, Parts Manager","Heavy equipment and engines, mechanical skills valued",Construction equipment
Deere & Company (John Deere),Agriculture Equipment,Illinois,82000,SkillBridge partner,veteranjobs@johndeere.com,https://jobs.deere.com,https://www.deere.com/en/our-company/john-deere-careers/working-here/military-and-veterans,Yes,Yes,No,Limited,"Service Technician, Manufacturing, Engineer, Sales, Parts","Agricultural and construction equipment, mechanical background",Agricultural equipment leader
Cummins,Engines/Power,Indiana,73600,Active veteran recruitment,veterancareers@cummins.com,https://cummins.jobs,https://www.cummins.com/careers/diversity-and-inclusion/veterans,Yes,Yes,No,Limited,"Service Technician, Manufacturing, Engineer, Quality, Sales","Diesel engines and power generation, technical skills",Engine manufacturer
Paccar,Trucks,Washington,32000,Veteran recruitment programs,veteranjobs@paccar.com,https://www.paccar.com/careers,https://www.paccar.com/careers/veterans,Yes,No,No,Limited,"Manufacturing, Engineer, Quality Technician, Maintenance, Supply Chain","Commercial trucks (Kenworth Peterbilt), manufacturing",Truck manufacturer
Navistar,Trucks,Illinois,14500,Ongoing veteran hiring,veterancareers@navistar.com,https://www.navistar.com/navistar/careers,https://www.navistar.com/navistar/careers/veterans,Yes,No,No,No,"Manufacturing, Service Technician, Engineer, Quality, Sales","Commercial trucks and engines, technical roles",Commercial vehicle manufacturer
Penske,Logistics,Pennsylvania,64000,Veteran recruitment focus,veteranjobs@penske.com,https://www.gopenske.com/careers,https://careers.gopenske.com/us/en/military,Yes,Yes,No,Limited,"Diesel Technician, Driver, Operations Manager, Rental Representative, Logistics","Truck leasing and logistics, CDL opportunities",Transportation services
Ryder,Logistics,Florida,38000,Active veteran programs,veterancareers@ryder.com,https://ryder.jobs,https://ryder.jobs/military,Yes,Yes,No,Limited,"Diesel Mechanic, Driver, Operations Manager, Rental Sales, Logistics Coordinator","Fleet management and logistics, CDL and mechanical",Transportation and logistics
J.B. Hunt,Trucking,Arkansas,29000,Veteran hiring initiatives,veteranrecruiting@jbhunt.com,https://jobs.jbhunt.com,https://www.jbhunt.com/careers/military,Yes,Yes,No,Limited,"Truck Driver, Operations, Dispatcher, Safety, Maintenance","Transportation and logistics, CDL training available",Trucking and logistics
Schneider,Trucking,Wisconsin,17500,Ongoing veteran recruitment,veteranjobs@schneider.com,https://schneiderjobs.com,https://schneiderjobs.com/truck-driving-jobs/military-veterans,Yes,Yes,No,No,"Truck Driver, Driver Trainee, Operations, Maintenance, Safety","Trucking company, military apprenticeship program",Trucking and logistics
Swift Transportation,Trucking,Arizona,23000,Veteran recruitment programs,veterancareers@swifttrans.com,https://www.swifttrans.com/careers,https://www.swifttrans.com/careers/military,Yes,Yes,No,No,"Truck Driver, Operations, Safety, Maintenance, Dispatcher","Trucking operations, CDL training available",Major trucking company
Werner Enterprises,Trucking,Nebraska,13500,Active veteran hiring,veteranjobs@werner.com,https://www.werner.com/careers,https://www.werner.com/content/werner/en/careers/military.html,Yes,No,No,No,"Truck Driver, Operations Manager, Safety, Maintenance, Dispatcher","Transportation and logistics, veteran-friendly",Trucking company
Old Dominion Freight Line,Trucking,North Carolina,24500,Veteran recruitment focus,veterancareers@odfl.com,https://www.odfl.com/careers,https://careers.odfl.com/us/en/military,Yes,Yes,No,Limited,"Truck Driver, Dock Worker, Operations, Maintenance, Customer Service","Less-than-truckload carrier, good benefits",LTL trucking leader
XPO Logistics,Logistics,Connecticut,42000,Ongoing veteran programs,veteranjobs@xpo.com,https://jobs.xpo.com,https://jobs.xpo.com/us/en/military,Yes,No,No,Yes,"Truck Driver, Warehouse, Operations Manager, Logistics Coordinator, IT","Transportation and logistics, diverse opportunities",Logistics provider
C.H. Robinson,Logistics,Minnesota,19000,Veteran hiring initiatives,veterancareers@chrobinson.com,https://www.chrobinson.com/careers,https://www.chrobinson.com/en-us/careers/why-work-at-chr/diversity-and-inclusion/veterans,Yes,No,No,Yes,"Logistics Coordinator, Account Manager, Operations, IT, Customer Service","Third-party logistics, office-based roles",Logistics broker
Sysco,Food Distribution,Texas,71000,Active veteran recruitment,veteranjobs@sysco.com,https://sysco.com/Careers.html,https://www.sysco.com/Careers/Military.html,Yes,Yes,No,Limited,"Delivery Driver, Warehouse, Operations Manager, Maintenance, Sales","Food distribution, CDL opportunities",Food service distributor
McLane Company,Distribution,Texas,24000,Veteran recruitment programs,veterancareers@mclaneco.com,https://www.mclaneco.com/careers,https://careers.mclaneco.com/military,Yes,No,No,Limited,"Truck Driver, Warehouse Associate, Operations, Maintenance, Transportation","Supply chain and logistics, Berkshire Hathaway company",Supply chain services
Performance Food Group,Food Distribution,Virginia,36000,Ongoing veteran hiring,veteranjobs@pfgc.com,https://www.pfgc.com/careers,https://www.pfgc.com/careers/veterans,Yes,No,No,Limited,"Delivery Driver, Warehouse Worker, Operations, Maintenance, Sales","Foodservice distribution, CDL roles",Food distributor
Starbucks,Food Service,Washington,402000,Veteran and military spouse hiring,veterancareers@starbucks.com,https://www.starbucks.com/careers,https://www.starbucks.com/careers/working-at-starbucks/military,Yes,No,No,Limited,"Barista, Shift Supervisor, Store Manager, Supply Chain, Corporate","Retail coffee, education benefits, military family focus",Coffee retailer
McDonald's,Food Service,Illinois,200000,Ongoing veteran programs (franchises),veteranjobs@us.mcd.com,https://careers.mcdonalds.com,https://www.mcdonalds.com/us/en-us/veterans.html,Yes,Yes,No,Limited,"Crew Member, Shift Manager, Restaurant Manager, Maintenance, Corporate","Quick service restaurant, franchisee-dependent",Fast food chain
Yum! Brands,Food Service,Kentucky,34000,Veteran recruitment focus (franchises),veterancareers@yum.com,https://www.yum.com/wps/portal/yumbrands/Yumbrands/careers,https://www.yum.com/wps/portal/yumbrands/Yumbrands/careers/military-and-veterans,Yes,No,No,Limited,"Restaurant Team Member, Shift Supervisor, Manager, Area Coach, Corporate","KFC Pizza Hut Taco Bell, franchise model",Restaurant brands
Hilton,Hospitality,Virginia,173000,Military and veteran hiring programs,veterancareers@hilton.com,https://jobs.hilton.com,https://jobs.hilton.com/us/en/military,Yes,No,No,Limited,"Front Desk, Housekeeping, Food & Beverage, Engineering, Management","Hotels and resorts, hospitality careers",Hotel chain
Marriott,Hospitality,Maryland,133000,Active veteran recruitment,veteranjobs@marriott.com,https://jobs.marriott.com,https://jobs.marriott.com/corporate/jobs?keywords=military,Yes,No,No,Limited,"Front Desk Agent, Housekeeping, Engineering, Food Service, Management","Hotels and resorts, global opportunities",Hotel chain
Hyatt,Hospitality,Illinois,48000,Veteran recruitment programs,veterancareers@hyatt.com,https://careers.hyatt.com,https://careers.hyatt.com/military,Yes,No,No,Limited,"Front Desk, Guest Services, Housekeeping, Engineering, Management","Hotels and resorts, hospitality focus",Hotel chain
MGM Resorts,Gaming/Hospitality,Nevada,77000,Ongoing veteran hiring,veteranjobs@mgmresorts.com,https://www.mgmresorts.com/careers,https://www.mgmresorts.com/en/careers/diversity-and-inclusion/veterans.html,Yes,No,Yes,No,"Security, Hotel Operations, Food & Beverage, Facilities, Table Games","Casino and resort operations, Las Vegas focus",Casino and resort operator
Caesars Entertainment,Gaming/Hospitality,Nevada,55000,Veteran recruitment focus,veterancareers@caesars.com,https://www.caesars.com/corporate/careers,https://www.caesars.com/corporate/careers/diversity/veterans,Yes,No,Yes,No,"Security, Hotel Operations, Gaming, Food & Beverage, Facilities","Casino and hotel operations, security roles",Casino operator
Duke Energy,Utilities,North Carolina,27000,Active veteran programs,veterancareers@duke-energy.com,https://www.duke-energy.com/careers,https://www.duke-energy.com/careers/veterans,Yes,Yes,No,Limited,"Line Worker, Plant Operator, Technician, Engineer, Customer Service","Electric utility, technical and field roles",Electric utility company
Southern Company,Utilities,Georgia,23000,Veteran recruitment initiatives,veteranjobs@southernco.com,https://www.southerncompany.com/careers.html,https://www.southerncompany.com/careers/veterans.html,Yes,Yes,No,Limited,"Power Plant Operator, Line Worker, Technician, Engineer, IT","Electric and gas utility, Southeast focus",Utility holding company
Exelon,Utilities,Illinois,18000,Ongoing veteran hiring,veterancareers@exeloncorp.com,https://www.exeloncorp.com/careers,https://www.exeloncorp.com/careers/why-exelon/military,Yes,Yes,No,Limited,"Nuclear Operator, Line Worker, Technician, Engineer, Control Room","Electric and gas utility, nuclear focus",Utility company
NextEra Energy,Utilities,Florida,15900,Veteran recruitment programs,veteranjobs@nexteraenergy.com,https://www.nexteraenergy.com/careers.html,https://www.nexteraenergy.com/careers/working-here/veterans.html,Yes,Yes,No,Limited,"Plant Operator, Technician, Engineer, Wind Technician, Renewable Energy","Clean energy focus, renewable opportunities",Energy company
American Electric Power,Utilities,Ohio,16400,Active veteran recruitment,veterancareers@aep.com,https://www.aep.com/careers,https://www.aep.com/careers/culture/military,Yes,Yes,No,Limited,"Line Worker, Substation Technician, Plant Operator, Engineer, Field Service","Electric utility, transmission focus",Electric utility
Dominion Energy,Utilities,Virginia,16200,Veteran hiring initiatives,veteranjobs@dominionenergy.com,https://www.dominionenergy.com/careers,https://www.dominionenergy.com/careers/veterans,Yes,Yes,No,Limited,"Line Technician, Power Plant Operator, Nuclear Operator, Engineer, Gas Technician","Electric and gas utility, nuclear operations",Energy company
Consolidated Edison,Utilities,New York,14000,Ongoing veteran programs,veterancareers@coned.com,https://www.conedison.com/en/careers,https://www.conedison.com/en/careers/veterans,Yes,Yes,No,No,"Line Worker, Technician, Plant Operator, Engineer, Customer Service","Electric and gas utility, NYC area",Utility company
Pacific Gas & Electric,Utilities,California,26000,Veteran recruitment focus,veteranjobs@pge.com,https://www.pgecareers.com,https://www.pgecareers.com/veterans,Yes,Yes,No,Limited,"Line Worker, Gas Service Technician, Substation Operator, Engineer, Meterman","Electric and gas utility, Northern California",Utility company
Sempra Energy,Utilities,California,20000,Active veteran hiring,veterancareers@sempra.com,https://www.sempra.com/careers,https://www.sempra.com/careers/veterans,Yes,Yes,No,Limited,"Gas Technician, Line Worker, Plant Operator, Engineer, Field Service","Energy infrastructure, SoCal Gas SDG&E",Energy infrastructure
Waste Management,Environmental Services,Texas,48000,Veteran recruitment programs,veteranjobs@wm.com,https://careers.wm.com,https://careers.wm.com/military,Yes,Yes,No,Limited,"Truck Driver (CDL), Diesel Mechanic, Equipment Operator, Route Manager, Maintenance","Waste and recycling services, CDL opportunities",Waste services
Republic Services,Environmental Services,Arizona,41000,Ongoing veteran hiring,veterancareers@republicservices.com,https://jobs.republicservices.com,https://jobs.republicservices.com/us/en/veterans,Yes,Yes,No,Limited,"Truck Driver, Mechanic, Equipment Operator, Operations, Maintenance","Waste and recycling, CDL and mechanical roles",Waste services
Waste Connections,Environmental Services,Texas,20000,Veteran recruitment focus,veteranjobs@wasteconnections.com,https://careers.wasteconnections.com,https://careers.wasteconnections.com/military,Yes,No,No,Limited,"Driver, Mechanic, Equipment Operator, Operations Supervisor, Maintenance","Waste collection and recycling, CDL roles",Waste services company
Clean Harbors,Environmental Services,Massachusetts,18000,Active veteran programs,veterancareers@cleanharbors.com,https://careers.cleanharbors.com,https://careers.cleanharbors.com/us/en/military,Yes,Yes,No,Limited,"Field Service Technician, Driver, Environmental Technician, HAZMAT, Operations","Hazardous waste and environmental services",Environmental services
Veolia,Environmental Services,Illinois,13000,Veteran hiring initiatives,veteranjobs@veolia.com,https://www.veolianorthamerica.com/careers,https://www.veolianorthamerica.com/veolia-north-america/careers/military,Yes,No,No,Limited,"Water Treatment Operator, Waste Technician, Maintenance, Engineer, Operations","Water and waste services, technical roles",Environmental solutions
Fluor,Engineering/Construction,Texas,41000,Ongoing veteran recruitment,veterancareers@fluor.com,https://www.fluor.com/careers,https://www.fluor.com/careers/veterans,Yes,No,Yes,Limited,"Project Manager, Engineer, Construction Superintendent, Scheduler, Estimator","Engineering and construction, project-based",Engineering/construction
Bechtel,Engineering/Construction,Virginia,55000,Active veteran hiring,veteranjobs@bechtel.com,https://www.bechtel.com/careers,https://www.bechtel.com/careers/military,Yes,No,Yes,Limited,"Project Manager, Engineer, Construction Manager, Scheduler, Quality","Major infrastructure projects, engineering focus",Engineering/construction
KBR,Engineering/Construction,Texas,34000,Veteran recruitment programs,veterancareers@kbr.com,https://www.kbr.com/careers,https://www.kbr.com/en/careers/veterans,Yes,No,Yes,Limited,"Project Manager, Engineer, Program Analyst, Construction, Logistics","Government services and engineering, clearances",Engineering and government services
Jacobs,Engineering,Texas,55000,Ongoing veteran hiring,veteranjobs@jacobs.com,https://www.jacobs.com/careers,https://www.jacobs.com/careers/veterans-and-military-spouses,Yes,No,Yes,Yes,"Engineer, Project Manager, Program Analyst, Designer, Environmental","Professional services, engineering and consulting",Engineering firm
AECOM,Engineering,Texas,50000,Veteran recruitment focus,veterancareers@aecom.com,https://careers.aecom.com,https://careers.aecom.com/military,Yes,No,Yes,Yes,"Engineer, Project Manager, Designer, Program Manager, Construction","Infrastructure and engineering services",Engineering/construction
Turner Construction,Construction,New York,12000,Active veteran programs,veteranjobs@tcco.com,https://www.turnerconstruction.com/careers,https://www.turnerconstruction.com/experience/careers/veterans,Yes,Yes,No,Limited,"Project Engineer, Superintendent, Project Manager, Estimator, Safety","Commercial construction, project management",Construction company
Kiewit,Construction,Nebraska,26000,Veteran hiring initiatives,veterancareers@kiewit.com,https://www.kiewit.com/careers,https://www.kiewit.com/careers/veterans,Yes,Yes,No,Limited,"Craft Labor, Project Engineer, Superintendent, Heavy Equipment, Foreman","Heavy civil construction, infrastructure projects",Construction company
PCL Construction,Construction,Colorado,6000,Ongoing veteran recruitment,veteranjobs@pcl.com,https://www.pcl.com/careers,https://www.pcl.com/careers/veterans,Yes,Yes,No,Limited,"Project Manager, Field Engineer, Superintendent, Estimator, Safety","General contracting, building construction",Construction firm
Clark Construction,Construction,Maryland,3500,Veteran recruitment programs,veterancareers@clarkconstruction.com,https://www.clarkconstruction.com/careers,https://www.clarkconstruction.com/our-people/working-clark/veterans,Yes,No,No,Limited,"Project Manager, Field Engineer, Superintendent, Estimator, Quality","Building construction, Mid-Atlantic focus",Construction company
DPR Construction,Construction,California,10000,Active veteran hiring,veteranjobs@dpr.com,https://www.dpr.com/careers,https://www.dpr.com/careers/veterans-program,Yes,No,No,Limited,"Project Manager, Project Engineer, Superintendent, Estimator, MEP","Commercial construction, technical building",Construction company
McCarthy Building,Construction,Missouri,4500,Veteran recruitment focus,veterancareers@mccarthy.com,https://www.mccarthy.com/careers,https://www.mccarthy.com/careers/veterans,Yes,No,No,Limited,"Project Manager, Project Engineer, Superintendent, Safety, Estimator","Building and infrastructure construction",Construction company
Sundt Construction,Construction,Arizona,2100,Ongoing veteran programs,veteranjobs@sundt.com,https://www.sundt.com/careers,https://www.sundt.com/about/employee-ownership/diversity-inclusion/veterans,Yes,No,No,Limited,"Project Manager, Project Engineer, Superintendent, Craft Workers, Safety","Employee-owned construction, Southwest focus",Construction firm
Granite Construction,Construction,California,3700,Veteran hiring initiatives,veterancareers@graniteconstruction.com,https://www.graniteconstruction.com/careers,https://www.graniteconstruction.com/careers/veterans,Yes,No,No,Limited,"Equipment Operator, Laborer, Project Manager, Engineer, Maintenance","Heavy civil construction, highways and infrastructure",Construction company
